"id","dispositivo_id","timestamp","n_muestras","actividad","vedba_media","vedba_max","pitch_medio","roll_medio","sector_raw_id","medicion_rapida_id","comportamiento_predicho"
1,4,2026-08-29 16:22:47.960 +0200,13,0,0.01156281999243545,0.027749705741346494,-2.519522638362945,-53.98350707648373,34,1,Lying chest
2,4,2026-08-29 16:22:48.960 +0200,12,0,0.011978196418247489,0.022246958621179123,-2.5281075396850894,-53.43829536637451,34,14,Lying chest
3,4,2026-08-29 16:22:49.960 +0200,13,0,0.02118697402089522,0.04058407879300762,-2.606512673856924,-53.0999943059168,34,26,Lying chest
4,4,2026-08-29 16:22:50.960 +0200,12,0,0.01634699982034425,0.024376819738294076,-2.635245001072444,-52.38789375579638,34,39,Lying chest
5,4,2026-08-29 16:22:51.960 +0200,13,0,0.020277261315172317,0.03717173971670258,-2.442118620637059,-51.43814303618167,34,51,Lying chest
6,4,2026-08-29 16:22:52.960 +0200,12,0,0.01391824910455694,0.031713016536777744,-2.264507042596622,-51.25240108387288,34,64,Lying chest
7,4,2026-08-29 16:22:53.960 +0200,13,0,0.03623911307472188,0.12471680853624613,-2.2564045942304185,-51.54976495751903,34,76,Lying chest
8,4,2026-08-29 16:22:54.960 +0200,12,0,0.14642476129344442,0.20542343028567792,-2.9164348324651512,-55.487415107857565,34,89,Lying chest
9,4,2026-08-29 16:22:55.960 +0200,13,0,0.19985717557592714,0.5568256767769972,-4.113116348992687,-62.15284063767296,34,101,Lying chest
10,4,2026-08-29 16:22:56.960 +0200,12,0,0.1129940312520295,0.19716155986374312,-1.6393762948743411,-68.21498303061044,34,114,Lying chest
11,4,2026-08-29 16:22:57.960 +0200,13,0,0.08745128042545673,0.13352005926082317,1.5823724457020885,-70.38589469281793,34,126,Lying chest
12,4,2026-08-29 16:22:58.960 +0200,12,0,0.1301503854771711,0.2765009553609971,-1.46181996616884,-69.76879367528501,34,139,Lying chest
13,4,2026-08-29 16:22:59.960 +0200,13,0,0.05011959700226014,0.12565073565773607,-6.8247943647606055,-69.32607837753399,34,151,Lying chest
