"id","dispositivo_id","timestamp","n_muestras","actividad","vedba_media","vedba_max","pitch_medio","roll_medio","sector_raw_id","medicion_rapida_id","comportamiento_predicho"
1,4,2026-08-29 16:36:12.960 +0200,13,0,0.023769709607674702,0.04850329636381634,-9.633834710282265,-0.8521344789278722,37,1,Standing
2,4,2026-08-29 16:36:13.960 +0200,12,0,0.04831316619090644,0.07388835420366263,-10.104002785739107,-0.24851556034014585,37,14,Standing
3,4,2026-08-29 16:36:14.960 +0200,13,0,0.03988914987614884,0.06563004101964832,-10.611147200394973,1.3848857938527233,37,26,Standing
4,4,2026-08-29 16:36:15.960 +0200,12,0,0.030733004676721794,0.05000953535709655,-11.040541565222512,3.21999418668746,37,39,Standing
5,4,2026-08-29 16:36:16.960 +0200,13,0,0.048248488947389326,0.07860125587372481,-11.347332821857963,3.5663893685286534,37,51,Standing
6,4,2026-08-29 16:36:17.960 +0200,12,0,0.0419275454657159,0.054302799477956826,-11.48139016282851,1.998748570383731,37,64,Standing
7,4,2026-08-29 16:36:18.960 +0200,13,0,0.02689207923509643,0.03924882472763108,-11.331593851579877,0.618974978494725,37,76,Standing
8,4,2026-08-29 16:36:19.960 +0200,12,0,0.027718838743404885,0.05889321160145768,-11.248119996641316,0.31059511598294637,37,89,Standing
9,4,2026-08-29 16:36:20.960 +0200,13,0,0.027973221108539132,0.05276318589600425,-11.573176407483485,-0.11831325696551652,37,101,Standing
10,4,2026-08-29 16:36:21.960 +0200,12,0,0.02998861006393323,0.047447623689195716,-11.784092791795054,-0.5582532266957436,37,114,Standing
11,4,2026-08-29 16:36:22.960 +0200,13,0,0.03919547672054758,0.05826684911929938,-11.305832758351293,-0.6901643448944432,37,126,Standing
12,4,2026-08-29 16:36:23.960 +0200,12,0,0.04038005156633436,0.0658757700938429,-10.740378680688186,-0.5117704973116416,37,139,Standing
13,4,2026-08-29 16:36:24.960 +0200,13,0,0.03127119311184083,0.059031546620744,-10.736999354483926,-0.4276728452165222,37,151,Standing
14,4,2026-08-29 16:36:25.960 +0200,12,0,0.0206671550881061,0.038869555530583064,-10.822004148549304,-0.47151690142439656,37,164,Standing
15,4,2026-08-29 16:36:26.960 +0200,13,0,0.03140933756695664,0.0528535090029524,-10.87613713624074,-0.301122392284828,37,176,Standing
16,4,2026-08-29 16:36:27.960 +0200,12,0,0.027158060023203177,0.053552508264634216,-10.994013953066537,-0.0953279683765089,37,189,Standing
17,4,2026-08-29 16:36:28.960 +0200,13,0,0.04249213677569381,0.06989318429519607,-11.073340407805441,-0.06427636397240713,37,201,Standing
18,4,2026-08-29 16:36:29.960 +0200,12,0,0.03548361734219228,0.05804030800968365,-11.17763868260377,-0.14916636386022616,37,214,Standing
19,4,2026-08-29 16:36:30.960 +0200,13,0,0.049305870352588786,0.10305878542191234,-11.14142221960103,-0.353468047693103,37,226,Standing
20,4,2026-08-29 16:36:31.960 +0200,12,0,0.04116021857129812,0.08127548903685121,-11.044028877223104,-0.5098699786998034,37,239,Standing
21,4,2026-08-29 16:36:32.960 +0200,13,0,0.043146916175845845,0.06138636725795708,-11.32754038572156,0.10941493006188506,37,251,Standing
22,4,2026-08-29 16:36:33.960 +0200,12,0,0.03062927152169198,0.05248293712902924,-11.840405762080449,1.7167556650427696,37,264,Standing
23,4,2026-08-29 16:36:34.960 +0200,13,0,0.02348162456942253,0.04010897989825213,-12.100384042052143,3.086086379748013,37,276,Standing
24,4,2026-08-29 16:36:35.960 +0200,12,0,0.018621270633529315,0.035904067037042124,-12.009334365318233,3.6720643910513675,37,289,Standing
25,4,2026-08-29 16:36:36.960 +0200,13,0,0.024233639589841614,0.04007751732081111,-11.670494635888017,3.7265789278843546,37,301,Standing
26,4,2026-08-29 16:36:37.960 +0200,12,0,0.03277297109911082,0.06023169327244538,-11.574348609389872,3.3260145156398644,37,314,Standing
27,4,2026-08-29 16:36:39.960 +0200,11,0,0.03449620720776295,0.05912015176999969,-11.136081315914554,4.309212007511166,37,354,Standing
28,4,2026-08-29 16:36:40.960 +0200,13,0,0.04337111967587469,0.08425899098332292,-11.68811889171416,4.8073524500015905,37,365,Standing
29,4,2026-08-29 16:36:41.960 +0200,12,0,0.03315589620917824,0.053545577305969365,-11.769193571637395,4.811667013223726,37,378,Standing
30,4,2026-08-29 16:36:42.960 +0200,13,0,0.04518132253972876,0.07684948396950027,-11.763136499581831,4.71147303833265,37,390,Standing
31,4,2026-08-29 16:36:43.960 +0200,12,0,0.0479690107657749,0.08085398913151601,-11.971122957994888,4.782087571755077,37,403,Standing
32,4,2026-08-29 16:36:44.960 +0200,13,0,0.05258458290660013,0.09068092435925162,-11.91368758645636,4.777744052925778,37,415,Standing
33,4,2026-08-29 16:36:45.960 +0200,12,0,0.05021295241188645,0.08036992851144978,-11.707869050062397,4.698172228771273,37,428,Standing
34,4,2026-08-29 16:36:46.960 +0200,13,0,0.04355543677287215,0.07344742046472261,-11.92189989661994,4.6068059341195084,37,440,Standing
35,4,2026-08-29 16:36:47.960 +0200,12,0,0.04321614858612652,0.07183697665003824,-11.942380680021968,4.350283171241263,37,453,Standing
36,4,2026-08-29 16:36:48.960 +0200,13,0,0.0499833316293609,0.08147421330027971,-11.597391940270118,4.042187983879478,37,465,Standing
37,4,2026-08-29 16:36:49.960 +0200,12,0,0.03553087096740889,0.06515598141548547,-11.485779125032844,3.640609475056267,37,478,Standing
38,4,2026-08-29 16:36:50.960 +0200,13,0,0.035763341135055034,0.06025780287744639,-11.62750215120564,2.9874763991126088,37,490,Standing
39,4,2026-08-29 16:36:51.960 +0200,12,0,0.03999090557476583,0.06785725342949485,-11.636566341575689,2.930659460114857,37,503,Standing
40,4,2026-08-29 16:36:52.960 +0200,13,0,0.03067765282448456,0.05530231295813577,-11.393832058576955,3.2757050127571614,37,515,Standing
